Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default,LoanID,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
32.0,19698.0,209861.0,374.0,24.0,1.0,3.99,24.0,0.14,0.0,2WUXSOM3BW,PhD,Self-employed,Married,No,Yes,Business,Yes
68.0,16965.0,195640.0,694.0,23.0,2.0,17.67,36.0,0.14,0.0,OGS7WEY79Q,PhD,Part-time,Single,No,No,Other,Yes
68.0,143971.0,114968.0,413.0,39.0,4.0,19.67,24.0,0.38,0.0,6WBCBYTCKJ,PhD,Unemployed,Married,Yes,Yes,Education,Yes
58.0,118879.0,70442.0,638.0,103.0,3.0,20.78,60.0,0.32,0.0,7OUXLAF4EU,Master's,Self-employed,Divorced,Yes,Yes,Education,Yes
47.0,135193.0,139393.0,389.0,92.0,3.0,8.87,36.0,0.52,0.0,PX1GR3HHY8,Bachelor's,Unemployed,Married,No,Yes,Home,No
61.0,18071.0,56308.0,697.0,63.0,2.0,8.37,36.0,0.63,0.0,OK1CB589P7,PhD,Unemployed,Married,No,Yes,Home,Yes
49.0,86889.0,132359.0,578.0,115.0,4.0,16.16,36.0,0.59,0.0,NTPEP979H9,High School,Unemployed,Divorced,No,No,Other,No
46.0,97244.0,37022.0,597.0,77.0,3.0,18.54,36.0,0.87,0.0,OBA80WA0WX,High School,Part-time,Single,Yes,Yes,Other,No
57.0,61761.0,247426.0,651.0,112.0,2.0,19.85,36.0,0.29,0.0,S0U9DWA3NQ,High School,Part-time,Married,Yes,No,Auto,Yes
39.0,68443.0,12826.0,605.0,14.0,3.0,19.02,24.0,0.88,1.0,P6GXY0S7LC,PhD,Self-employed,Divorced,No,Yes,Business,Yes
55.0,39972.0,32018.0,548.0,9.0,4.0,7.4,12.0,0.27,0.0,1JPTCCB3CR,High School,Part-time,Single,No,No,Business,Yes
54.0,76887.0,194667.0,503.0,49.0,1.0,23.34,60.0,0.21,0.0,R4TQ9ZJY3K,Master's,Unemployed,Divorced,No,No,Other,No
31.0,22122.0,39176.0,411.0,8.0,4.0,7.77,48.0,0.63,0.0,656H112EVK,High School,Unemployed,Married,Yes,No,Education,No
46.0,85170.0,220551.0,680.0,118.0,1.0,17.24,36.0,0.53,0.0,5OVLVYSND6,Master's,Self-employed,Divorced,Yes,Yes,Home,No
49.0,17319.0,154704.0,446.0,72.0,1.0,19.56,36.0,0.26,0.0,AE7TLWR4LU,High School,Self-employed,Divorced,Yes,Yes,Business,Yes
23.0,133287.0,76788.0,844.0,46.0,1.0,11.1,60.0,0.24,0.0,UP2QBG6L7D,Bachelor's,Self-employed,Single,No,Yes,Education,Yes
44.0,47660.0,56524.0,739.0,58.0,4.0,10.93,24.0,0.17,0.0,GGNIX5WETX,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,Yes
32.0,114317.0,208997.0,763.0,80.0,1.0,15.41,48.0,0.77,0.0,P8EQJ4KWTN,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No
23.0,135564.0,37710.0,621.0,78.0,3.0,23.06,60.0,0.53,0.0,5JOE55HFHQ,Master's,Part-time,Single,Yes,Yes,Other,Yes
58.0,127132.0,21153.0,735.0,102.0,3.0,21.41,12.0,0.58,0.0,0LNEAJTBTR,PhD,Self-employed,Married,No,No,Education,No
65.0,126127.0,97210.0,676.0,72.0,4.0,2.63,24.0,0.1,0.0,ZRMS8IXZCS,Bachelor's,Unemployed,Single,No,Yes,Education,Yes
64.0,63983.0,10458.0,746.0,112.0,1.0,14.15,24.0,0.11,0.0,QM6VWKK3ZY,Bachelor's,Part-time,Married,No,Yes,Education,Yes
34.0,128444.0,69846.0,644.0,82.0,3.0,6.51,60.0,0.61,0.0,1Y0XEZ71B9,Master's,Unemployed,Single,No,No,Home,No
26.0,25685.0,158895.0,437.0,79.0,3.0,18.52,12.0,0.65,1.0,DNSPJH4SW8,Bachelor's,Full-time,Single,No,Yes,Auto,Yes
68.0,100805.0,122414.0,314.0,42.0,4.0,20.04,24.0,0.55,0.0,V208T3DV14,Bachelor's,Self-employed,Married,Yes,No,Other,No
46.0,107152.0,9216.0,411.0,38.0,2.0,5.15,36.0,0.36,0.0,SQCUVJPEV1,Bachelor's,Part-time,Divorced,Yes,Yes,Education,No
65.0,35626.0,34549.0,430.0,4.0,4.0,10.85,60.0,0.21,0.0,5H8BNLZGKQ,PhD,Part-time,Divorced,No,Yes,Home,No
34.0,71059.0,201772.0,392.0,50.0,3.0,10.15,12.0,0.45,0.0,OV0BJS9IOH,Bachelor's,Self-employed,Single,No,Yes,Other,No
60.0,72811.0,199413.0,566.0,70.0,4.0,4.66,36.0,0.42,0.0,0UG5146QP4,Master's,Full-time,Married,No,Yes,Education,Yes
62.0,43218.0,162389.0,367.0,8.0,1.0,18.9,36.0,0.62,0.0,VWC07ST5UV,PhD,Unemployed,Single,Yes,Yes,Home,Yes
52.0,50699.0,178307.0,640.0,3.0,1.0,18.29,24.0,0.52,0.0,VRSKB3GB3B,Master's,Self-employed,Divorced,No,Yes,Education,No
37.0,50407.0,26432.0,352.0,86.0,4.0,5.58,12.0,0.63,0.0,XFNC9IG1SO,Bachelor's,Self-employed,Single,No,Yes,Auto,No
62.0,40262.0,242241.0,727.0,85.0,4.0,19.66,60.0,0.51,0.0,KV6ZG9H7EM,Bachelor's,Self-employed,Married,Yes,No,Education,Yes
26.0,88694.0,241950.0,746.0,30.0,4.0,8.36,60.0,0.37,0.0,M6Q6OU38YB,Master's,Self-employed,Divorced,Yes,Yes,Auto,No
45.0,70694.0,166382.0,455.0,9.0,1.0,24.17,48.0,0.7,1.0,6XOSHT4TSR,High School,Part-time,Divorced,Yes,No,Other,No
58.0,110935.0,25969.0,560.0,78.0,4.0,3.19,24.0,0.47,0.0,OC2TKCTAL1,Master's,Part-time,Divorced,Yes,No,Business,Yes
22.0,148230.0,235844.0,474.0,67.0,4.0,15.92,60.0,0.7,1.0,7T33YA7RNR,Bachelor's,Self-employed,Married,No,Yes,Business,No
40.0,29007.0,213030.0,489.0,46.0,3.0,23.74,60.0,0.83,0.0,3L2LZNPNHX,Master's,Full-time,Single,No,Yes,Auto,Yes
38.0,26030.0,188296.0,447.0,16.0,2.0,20.5,60.0,0.13,0.0,VEYL1SF7WM,Bachelor's,Unemployed,Single,No,Yes,Business,Yes
41.0,83163.0,156363.0,320.0,51.0,1.0,10.87,24.0,0.8,0.0,O66RYP93X3,Bachelor's,Self-employed,Married,Yes,No,Education,No
38.0,94792.0,216930.0,831.0,89.0,4.0,21.12,48.0,0.73,0.0,WQ8RLT5RCG,Bachelor's,Self-employed,Married,Yes,Yes,Education,No
43.0,16397.0,19863.0,378.0,26.0,3.0,14.31,48.0,0.47,0.0,3G28QWNX7T,High School,Self-employed,Single,No,No,Home,Yes
51.0,28106.0,148426.0,705.0,25.0,2.0,2.02,24.0,0.2,0.0,VGVAAAVBAQ,Bachelor's,Self-employed,Married,No,No,Auto,No
60.0,71066.0,10056.0,328.0,83.0,1.0,20.8,24.0,0.33,0.0,1I0KMJD4UV,Bachelor's,Unemployed,Single,No,No,Other,Yes
39.0,57053.0,145763.0,656.0,78.0,2.0,5.46,24.0,0.62,0.0,LN6NAIRU7J,PhD,Full-time,Single,No,Yes,Education,Yes
25.0,52235.0,7549.0,325.0,75.0,4.0,10.44,36.0,0.77,0.0,Z0L41LFU2Y,Bachelor's,Self-employed,Single,Yes,Yes,Business,Yes
54.0,142180.0,22449.0,345.0,95.0,3.0,20.56,12.0,0.62,0.0,SPCP8WCPHB,Master's,Self-employed,Divorced,Yes,Yes,Business,No
52.0,128617.0,153587.0,841.0,95.0,4.0,19.42,24.0,0.73,0.0,V2FEFZ2TKT,Bachelor's,Unemployed,Married,Yes,Yes,Business,Yes
54.0,137509.0,186118.0,807.0,62.0,3.0,18.37,48.0,0.76,0.0,YYJPFM0PNP,Bachelor's,Part-time,Married,No,Yes,Home,Yes
56.0,54010.0,242344.0,806.0,50.0,4.0,15.88,48.0,0.71,0.0,YDXY5RPV0O,Master's,Unemployed,Married,No,Yes,Business,No
50.0,139123.0,171912.0,660.0,38.0,1.0,10.56,12.0,0.43,0.0,5086Q12AV2,High School,Self-employed,Single,No,Yes,Other,No
66.0,149581.0,82572.0,586.0,57.0,4.0,11.72,60.0,0.65,0.0,P2CK3YAPV4,Master's,Unemployed,Married,No,No,Home,No
62.0,99680.0,146222.0,632.0,114.0,2.0,4.84,24.0,0.3,0.0,KG44FBBLQO,PhD,Part-time,Single,No,Yes,Business,Yes
24.0,123654.0,185179.0,572.0,83.0,2.0,8.68,24.0,0.33,0.0,ZB95MM9VRS,Master's,Self-employed,Married,Yes,No,Education,No
32.0,63651.0,34941.0,822.0,117.0,4.0,11.1,12.0,0.63,1.0,FGJ6P4GZQV,Master's,Unemployed,Single,Yes,Yes,Auto,No
31.0,25372.0,40839.0,319.0,5.0,3.0,7.0,36.0,0.2,0.0,K9JG1W4TMD,Bachelor's,Full-time,Single,No,Yes,Business,Yes
67.0,76913.0,30441.0,382.0,23.0,4.0,12.2,24.0,0.33,0.0,4HO3N5HCHJ,PhD,Self-employed,Single,Yes,No,Other,No
63.0,102955.0,155852.0,528.0,97.0,4.0,21.58,60.0,0.1,0.0,MSWRH4KW05,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No
67.0,79112.0,201691.0,803.0,40.0,3.0,16.73,24.0,0.37,0.0,WNXAJTPOHF,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No
45.0,137763.0,6170.0,726.0,104.0,4.0,20.21,48.0,0.7,0.0,LQS1HE9C3D,Bachelor's,Full-time,Married,Yes,Yes,Auto,Yes
53.0,102366.0,130059.0,388.0,27.0,2.0,13.48,12.0,0.27,0.0,4WAIZVDDY4,High School,Full-time,Married,Yes,No,Other,No
53.0,79608.0,21660.0,362.0,66.0,1.0,8.93,36.0,0.56,0.0,LPWTY6E8Z7,High School,Full-time,Married,Yes,No,Other,No
40.0,73440.0,128654.0,757.0,56.0,3.0,2.37,60.0,0.19,0.0,8P7BNU72HP,PhD,Full-time,Divorced,No,No,Other,Yes
46.0,90091.0,57919.0,584.0,116.0,1.0,18.14,36.0,0.55,0.0,FPVB5KKRHD,PhD,Self-employed,Single,No,No,Other,No
63.0,36527.0,141884.0,450.0,30.0,3.0,17.22,48.0,0.57,0.0,BTEMY96CO6,Bachelor's,Self-employed,Divorced,No,No,Other,No
29.0,71505.0,158045.0,652.0,69.0,3.0,21.76,36.0,0.7,0.0,32TYAX3BU8,PhD,Self-employed,Married,No,No,Business,Yes
69.0,131529.0,156311.0,347.0,82.0,1.0,11.97,24.0,0.23,0.0,CYZ833ETB0,High School,Unemployed,Single,No,No,Home,No
56.0,106979.0,141262.0,697.0,8.0,4.0,5.67,12.0,0.82,0.0,P1U8J5LZY4,High School,Part-time,Single,No,No,Home,Yes
22.0,70956.0,84764.0,828.0,84.0,3.0,20.38,48.0,0.26,1.0,ZPO1DPYIUU,High School,Self-employed,Single,Yes,No,Education,No
39.0,53736.0,131011.0,733.0,42.0,3.0,12.12,48.0,0.11,0.0,HT1WS4LLPI,PhD,Part-time,Divorced,No,No,Auto,No
25.0,45462.0,137706.0,787.0,110.0,2.0,9.18,60.0,0.65,0.0,3QF6EFSQT0,Master's,Full-time,Divorced,No,No,Home,Yes
49.0,143941.0,58690.0,565.0,22.0,3.0,23.27,48.0,0.52,0.0,9ORJVP71TI,Bachelor's,Unemployed,Divorced,Yes,Yes,Business,Yes
42.0,96406.0,206912.0,368.0,11.0,4.0,13.35,24.0,0.8,0.0,JXAPFJ2UKR,Bachelor's,Self-employed,Married,Yes,Yes,Business,Yes
33.0,22698.0,89342.0,729.0,74.0,1.0,22.08,60.0,0.28,1.0,O4SYT1WWVG,High School,Self-employed,Divorced,No,No,Education,No
44.0,71020.0,134193.0,848.0,81.0,2.0,17.44,12.0,0.4,0.0,329JVQN4NO,Master's,Full-time,Single,Yes,No,Auto,Yes
47.0,70647.0,229580.0,581.0,4.0,4.0,23.05,24.0,0.76,0.0,FVYBXR3FST,PhD,Full-time,Married,Yes,No,Education,No
51.0,127044.0,9617.0,539.0,81.0,1.0,9.06,60.0,0.1,0.0,4B2VMSHV39,Bachelor's,Self-employed,Single,No,Yes,Auto,No
45.0,134219.0,178646.0,558.0,77.0,3.0,11.36,24.0,0.51,0.0,58T21FLT3M,Bachelor's,Self-employed,Single,No,No,Other,Yes
31.0,65283.0,10559.0,300.0,85.0,4.0,9.05,48.0,0.12,0.0,GWL4VH1FZ7,Bachelor's,Full-time,Married,Yes,No,Education,Yes
52.0,100938.0,8916.0,609.0,45.0,2.0,8.08,12.0,0.45,0.0,OXPPWLOQ1P,Master's,Self-employed,Married,Yes,Yes,Education,No
24.0,40051.0,11107.0,461.0,0.0,2.0,11.38,36.0,0.13,0.0,BHR9SQ85RQ,PhD,Part-time,Single,No,Yes,Business,No
56.0,104692.0,148209.0,679.0,74.0,1.0,8.22,36.0,0.66,0.0,4EFNZFA9C0,High School,Full-time,Single,Yes,No,Business,Yes
36.0,22223.0,61159.0,527.0,5.0,2.0,20.91,36.0,0.39,0.0,JNG1DNNLWT,High School,Self-employed,Single,No,Yes,Other,No
40.0,127351.0,77799.0,655.0,92.0,2.0,7.8,60.0,0.84,0.0,ME9PJKNCJY,Bachelor's,Self-employed,Single,Yes,No,Education,Yes
27.0,51238.0,106739.0,833.0,74.0,3.0,12.43,24.0,0.38,0.0,XOVX301VYA,High School,Part-time,Divorced,No,Yes,Auto,Yes
22.0,94955.0,117009.0,651.0,23.0,2.0,24.34,48.0,0.51,0.0,JWIO5D7SSC,High School,Self-employed,Married,Yes,Yes,Home,Yes
50.0,81725.0,160906.0,787.0,7.0,2.0,14.46,36.0,0.76,0.0,9UVITXJSVW,PhD,Self-employed,Divorced,Yes,No,Business,Yes
48.0,48460.0,227749.0,571.0,111.0,4.0,10.65,24.0,0.86,0.0,XXW8KYWF0P,Master's,Part-time,Divorced,No,No,Other,No
41.0,85302.0,230018.0,634.0,16.0,2.0,8.15,48.0,0.88,0.0,G9UU1NB8C9,High School,Unemployed,Single,No,Yes,Other,Yes
63.0,21489.0,143115.0,520.0,0.0,4.0,17.09,12.0,0.76,0.0,ILIO8BNJ4Y,PhD,Self-employed,Married,Yes,No,Business,No
38.0,134962.0,56738.0,741.0,13.0,3.0,15.63,36.0,0.32,0.0,AJ32IMS3TF,Bachelor's,Self-employed,Married,No,Yes,Home,No
64.0,134929.0,107292.0,572.0,34.0,2.0,7.69,24.0,0.16,0.0,2WNV9886TE,PhD,Self-employed,Divorced,No,No,Other,No
69.0,41391.0,28582.0,442.0,2.0,1.0,15.57,48.0,0.87,0.0,D9Q69GXK3B,PhD,Part-time,Married,Yes,No,Business,No
68.0,87369.0,77919.0,593.0,109.0,1.0,23.31,48.0,0.83,0.0,LWSUME74VB,PhD,Part-time,Married,Yes,Yes,Business,Yes
40.0,90072.0,182357.0,569.0,37.0,3.0,18.34,12.0,0.68,0.0,XEV2MQUTM4,PhD,Full-time,Single,Yes,Yes,Auto,No
62.0,41343.0,60521.0,636.0,28.0,4.0,10.67,12.0,0.59,0.0,DDJUEP8TDY,High School,Unemployed,Married,No,No,Business,Yes
34.0,79406.0,18505.0,630.0,53.0,1.0,23.09,60.0,0.69,0.0,B23O22HJEB,PhD,Unemployed,Divorced,No,Yes,Business,Yes
50.0,139582.0,171284.0,409.0,110.0,3.0,3.18,60.0,0.45,0.0,3XTW0AEJ4W,PhD,Full-time,Married,Yes,Yes,Home,No
53.0,85874.0,144063.0,579.0,75.0,3.0,22.16,36.0,0.17,0.0,IUQJ9OWNRJ,PhD,Unemployed,Divorced,No,Yes,Business,No
56.0,29463.0,228894.0,670.0,115.0,3.0,14.86,48.0,0.42,1.0,NWSXJEFESO,Master's,Unemployed,Single,No,Yes,Other,Yes
58.0,132540.0,165349.0,716.0,80.0,3.0,18.88,60.0,0.71,0.0,ZAET8CQY7V,PhD,Full-time,Married,Yes,No,Other,Yes
67.0,102320.0,141109.0,465.0,93.0,3.0,16.56,24.0,0.9,0.0,QJH8L924V8,Bachelor's,Part-time,Single,Yes,No,Other,No
24.0,122455.0,96851.0,387.0,116.0,2.0,13.11,24.0,0.14,0.0,NNC2POH1TN,PhD,Unemployed,Single,Yes,Yes,Auto,Yes
64.0,70510.0,128694.0,449.0,62.0,2.0,6.22,24.0,0.9,0.0,VL4KKUIW0W,Bachelor's,Unemployed,Married,No,Yes,Auto,No
43.0,24089.0,28609.0,764.0,15.0,1.0,13.9,12.0,0.82,0.0,G1PSHZO7O6,PhD,Unemployed,Divorced,No,Yes,Home,Yes
67.0,123898.0,29343.0,309.0,115.0,2.0,3.45,48.0,0.12,0.0,1215XJWRO9,PhD,Unemployed,Divorced,No,Yes,Auto,Yes
22.0,76046.0,221956.0,392.0,18.0,1.0,22.66,24.0,0.47,1.0,2HOTZMFTKN,Master's,Unemployed,Single,Yes,No,Other,No
55.0,69433.0,129620.0,680.0,94.0,3.0,20.06,12.0,0.64,0.0,JUZD75VJZN,High School,Self-employed,Divorced,No,Yes,Auto,No
22.0,82103.0,74305.0,587.0,7.0,4.0,12.62,60.0,0.16,0.0,IV5CKLD4T6,Bachelor's,Self-employed,Divorced,No,Yes,Other,Yes
30.0,32310.0,29056.0,663.0,100.0,2.0,24.31,12.0,0.77,0.0,FA7WWUV3KH,Master's,Self-employed,Divorced,No,Yes,Other,No
35.0,95000.0,51158.0,415.0,44.0,2.0,6.78,36.0,0.45,1.0,AUJSHULUGQ,Bachelor's,Unemployed,Divorced,No,No,Other,No
32.0,31078.0,95785.0,714.0,67.0,3.0,23.07,36.0,0.49,0.0,K9J9O1H3O7,PhD,Self-employed,Married,Yes,No,Business,Yes
31.0,117499.0,150403.0,840.0,89.0,1.0,8.36,48.0,0.42,0.0,12LV9RYSZF,PhD,Unemployed,Single,No,Yes,Other,Yes
20.0,29138.0,53005.0,359.0,119.0,3.0,10.28,24.0,0.54,0.0,A2W9OAK8Z4,Bachelor's,Part-time,Married,No,No,Other,No
61.0,124862.0,178751.0,806.0,56.0,1.0,17.8,24.0,0.55,0.0,01EYA8C65S,Bachelor's,Full-time,Married,No,Yes,Other,Yes
43.0,83920.0,183280.0,361.0,56.0,4.0,10.1,12.0,0.88,0.0,6F3RNHTW9Y,Master's,Unemployed,Married,Yes,Yes,Other,Yes
57.0,141694.0,29640.0,663.0,19.0,2.0,3.14,12.0,0.49,0.0,A05EMG36XC,Bachelor's,Self-employed,Divorced,No,Yes,Other,No
66.0,65905.0,167214.0,693.0,12.0,2.0,17.93,48.0,0.86,1.0,YVK6MYRYN1,PhD,Full-time,Divorced,Yes,No,Education,No
48.0,15368.0,104879.0,391.0,9.0,1.0,5.78,24.0,0.63,0.0,III7BUX8EY,High School,Full-time,Married,No,No,Home,No
30.0,28594.0,12551.0,668.0,24.0,4.0,14.45,60.0,0.14,0.0,02OB4MTCGH,High School,Full-time,Single,Yes,Yes,Business,No
51.0,79243.0,58781.0,506.0,42.0,4.0,16.41,24.0,0.23,0.0,R25XEJRAFQ,Master's,Self-employed,Married,Yes,No,Education,Yes
18.0,69046.0,163159.0,785.0,109.0,4.0,21.98,24.0,0.12,1.0,84B0VZ4WAK,High School,Part-time,Single,No,Yes,Business,No
24.0,123229.0,82567.0,429.0,91.0,4.0,24.52,48.0,0.74,0.0,68R7FGJW0L,High School,Unemployed,Married,Yes,No,Education,No
55.0,115452.0,116404.0,793.0,87.0,2.0,23.17,60.0,0.82,0.0,4LVF6MGG0W,Bachelor's,Full-time,Divorced,Yes,No,Auto,Yes
49.0,127961.0,42386.0,527.0,90.0,3.0,10.81,48.0,0.87,0.0,AT8R02TWPZ,High School,Unemployed,Married,No,Yes,Business,No
57.0,147535.0,21875.0,789.0,78.0,2.0,21.08,12.0,0.64,0.0,LSOVCXUSWB,Bachelor's,Full-time,Married,Yes,Yes,Home,Yes
34.0,112170.0,189417.0,744.0,76.0,3.0,8.3,36.0,0.32,0.0,RK9I32OHUR,Bachelor's,Part-time,Single,No,Yes,Business,Yes
36.0,88113.0,114752.0,770.0,100.0,4.0,5.19,36.0,0.2,0.0,V5JA3VNXQ9,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes
43.0,60795.0,123842.0,519.0,89.0,1.0,18.3,36.0,0.84,0.0,3AWDWWGNYC,Master's,Unemployed,Single,No,Yes,Business,Yes
23.0,42436.0,148803.0,341.0,60.0,2.0,22.12,36.0,0.34,0.0,0TUWMKVCO4,PhD,Full-time,Divorced,No,Yes,Education,Yes
60.0,99317.0,111734.0,454.0,105.0,2.0,20.98,48.0,0.46,0.0,MLD5ZKHU6O,PhD,Full-time,Married,No,No,Other,Yes
20.0,134383.0,207027.0,544.0,85.0,3.0,16.66,36.0,0.38,0.0,S7HEO1JU2U,PhD,Self-employed,Married,Yes,No,Auto,No
34.0,119861.0,163671.0,582.0,115.0,3.0,21.6,36.0,0.29,0.0,2D36EJ2V00,Master's,Self-employed,Divorced,No,No,Education,Yes
45.0,30905.0,142130.0,474.0,74.0,1.0,19.59,12.0,0.19,0.0,95XQDGW06E,High School,Self-employed,Married,Yes,No,Other,Yes
62.0,96272.0,15828.0,672.0,36.0,3.0,5.32,60.0,0.6,0.0,WPT71CUJ2J,PhD,Full-time,Divorced,No,No,Home,No
34.0,57157.0,231292.0,650.0,26.0,1.0,6.91,12.0,0.45,0.0,I5Q3WZZS8K,PhD,Self-employed,Divorced,Yes,No,Auto,Yes
